,country,ISO3,coverage,malaria_prev,malaria_prev_min,malaria_prev_max,1_4est,5_9est,Allages_est,1_4prop_est,5_9prop_est,pop_total,pop_atrisk,at_risk,trr,pcr,tfr,CFR_malaria,year,1,Pop1_4,Pop5_9,VE1,VE2,VE3,tfr_increasing,pcr_increasing,Pop1
66,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2020,149.865,589805.0000000001,699480.0,,,0.4,,,149.865
67,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2021,151.593,589805.0000000001,699480.0,0.4,0.8,0.4,0.0145,0.0,151.593
68,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2022,154.592,589805.0000000001,699480.0,0.4,0.6,0.4,0.10177777777777779,0.08888888888888889,154.592
69,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2023,157.902,589805.0000000001,699480.0,0.4,0.4,0.4,0.1890555555555556,0.17777777777777778,157.902
70,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2024,161.392,589805.0000000001,699480.0,0.4,0.2,0.4,0.2763333333333334,0.26666666666666666,161.392
71,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2025,164.768,589805.0000000001,699480.0,0.0,0.0,0.4,0.36361111111111116,0.35555555555555557,164.768
72,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2026,169.714,589805.0000000001,699480.0,0.0,0.0,0.4,0.45088888888888895,0.4444444444444445,169.714
73,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2027,169.789,589805.0000000001,699480.0,0.0,0.0,0.4,0.5381666666666667,0.5333333333333333,169.789
74,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2028,172.07,589805.0000000001,699480.0,0.0,0.0,0.4,0.6254444444444445,0.6222222222222222,172.07
75,Central African Republic,CAF,0.42,1622774.0,831000.0,2900000.0,209599.60568404515,239930.20606250197,1370331.0205182063,0.15295545568601568,0.1750892320687374,5457154.0,5457154.0,1.0,0.341,0.0,0.0145,0.002662159541159846,2029,174.165,589805.0000000001,699480.0,0.0,0.0,0.4,0.7127222222222223,0.7111111111111111,174.165
